year,x,y,max_size,windspeed,winddirection
1,560927.812716261,4982453.92809347,620,17.9896219819784,206.674268036149
1,581927.812716261,5024553.92809347,625,20.4497498413548,220.817740259226
1,600927.812716261,4784753.92809347,1070,22.3453746177256,210.501073894557
1,553227.812716261,4878553.92809347,5192,19.7643007151783,252.195906434208
1,422227.812716261,4925053.92809347,1415,19.9328042985871,241.904973287601
1,562927.812716261,4956153.92809347,19896,25.625051446259,220.881715491414
1,469427.812716261,4967653.92809347,1838,17.8476107073948,247.865539428312
1,622127.812716261,4990953.92809347,1135,23.9233343955129,211.35287390789
1,576727.812716261,4924953.92809347,537,10.7685873517767,198.925095372833
2,554327.812716261,4797353.92809347,1367,21.4294834248722,198.786022814456
2,554227.812716261,4857753.92809347,1855,12.7302338602021,181.756804073229
2,450327.812716261,4927553.92809347,1548,26.8853031657636,191.750322380103
4,435027.812716261,4996153.92809347,860,21.7374245170504,195.232939445414
4,428227.812716261,4985053.92809347,6178,22.3369704978541,232.373530066106
4,475727.812716261,4945153.92809347,1201,25.4441138263792,268.522104257718
4,581127.812716261,4809453.92809347,10659,21.7948288051412,221.571223544888
4,569627.812716261,4889553.92809347,392,29.8493234720081,252.500640582293
5,551927.812716261,4820053.92809347,434,13.7927494198084,220.214949448127
5,549527.812716261,4795953.92809347,417,19.5475690951571,210.983577941079
5,465127.812716261,4835553.92809347,577,25.993943749927,198.477267134003
5,554527.812716261,4865753.92809347,3369,12.331227529794,201.079541374929
5,517027.812716261,4835553.92809347,1128,24.0602553868666,210.486737990286
6,489427.812716261,4909053.92809347,381,11.9216489512473,241.137044818606
7,538327.812716261,4696453.92809347,9256,23.7004560278729,191.80863639107
7,628627.812716261,4751053.92809347,3464,28.3195189666003,266.244438998401
7,504127.812716261,4852153.92809347,1436,10.9107316611335,267.695689089596
7,542727.812716261,4875753.92809347,2047,28.0837881518528,211.851866289508
7,528327.812716261,4901553.92809347,11143,21.7178847687319,226.388639432844
7,529827.812716261,4946353.92809347,429,26.3691946165636,198.433940238319
7,542427.812716261,4762753.92809347,393,25.3066646400839,222.004315643571
7,481027.812716261,4788853.92809347,3191,16.9275030493736,200.601846193895
8,545827.812716261,4803053.92809347,4334,26.2559860013425,218.756071175449
8,500427.812716261,4831453.92809347,3030,10.7846645312384,259.409210616723
8,576527.812716261,4921553.92809347,442,11.1709221312776,242.490282759536
8,456027.812716261,4946853.92809347,5402,24.411835395731,187.763049909845
9,542527.812716261,4882953.92809347,1171,18.0998310027644,244.513340564445
9,577127.812716261,4797253.92809347,3311,18.515556268394,252.719092634507
10,478627.812716261,4776253.92809347,1535,28.435297566466,193.131035319529
11,509527.812716261,4806453.92809347,1750,29.9376794602722,200.275733289309
11,571927.812716261,4943153.92809347,1218,14.3436311138794,235.88576228125
12,489527.812716261,4882953.92809347,3053,25.4073503380641,247.55103665404
12,611727.812716261,5008553.92809347,493,29.5472665084526,239.685313354712
12,586227.812716261,4792953.92809347,672,10.5561534920707,197.818467880134
12,499927.812716261,4827253.92809347,7914,12.8450068132952,268.434028434567
12,558627.812716261,4841353.92809347,1378,23.2005195645615,233.763848352246
12,479227.812716261,4706753.92809347,4080,24.1489515453577,264.385533935856
12,541827.812716261,4843353.92809347,4783,19.9163197912276,198.543236567639
12,508027.812716261,4741353.92809347,1709,27.978396769613,194.235499463975
12,510327.812716261,4794553.92809347,37416,17.2931256471202,184.134102626704
12,543927.812716261,4867853.92809347,414,21.9017467368394,186.856988640502
13,488527.812716261,4973053.92809347,1831,11.9243768462911,229.372628687415
13,530727.812716261,4774853.92809347,614,19.6019332297146,231.773219795432
13,646427.812716261,4721853.92809347,480,26.4964081393555,231.631115188356
13,474227.812716261,4726753.92809347,400,25.2277604024857,247.863947935402
13,582927.812716261,4887053.92809347,8492,23.7244669673964,262.533198148012
13,556427.812716261,4787753.92809347,2533,14.409486586228,206.785172915552
13,565227.812716261,4799653.92809347,643,19.614655780606,247.690251432359
14,507927.812716261,4774953.92809347,1405,25.3675258392468,193.067107507959
14,548727.812716261,4797353.92809347,1030,23.1286001997069,209.590099719353
14,528327.812716261,4738353.92809347,912,21.8631436722353,225.34958277829
14,480527.812716261,4822653.92809347,1013,15.4997801827267,263.002693166491
14,554027.812716261,4841953.92809347,889,25.4581004753709,184.445477232803
14,562527.812716261,4935653.92809347,11436,14.6329762833193,184.117320254445
14,580027.812716261,5007153.92809347,458,16.4674182515591,249.992432019208
14,534627.812716261,5023853.92809347,450,27.9356197314337,223.391014414374
14,524627.812716261,4759853.92809347,7005,18.2453297963366,210.859389211982
14,430927.812716261,4955053.92809347,112186,29.570388738066,240.674245411064
14,582827.812716261,5026253.92809347,500,27.5153760425746,268.439605354797
15,572627.812716261,4857753.92809347,549,11.1833878327161,223.880783454515
16,576127.812716261,4797753.92809347,387,18.4296141006052,223.618567432277
16,462727.812716261,4832053.92809347,399,29.2542874068022,206.781585859135
17,522427.812716261,4865453.92809347,1183,24.0620995871723,262.973778031301
17,510127.812716261,4867253.92809347,12657,27.7229771437123,234.812634950504
17,549027.812716261,5039353.92809347,881,22.5274748541415,187.576929100323
17,514527.812716261,5039753.92809347,2752,14.1237217187881,265.560808461159
17,537727.812716261,4827153.92809347,809,10.6185015710071,269.382421730552
17,494427.812716261,4884353.92809347,4209,23.1909201992676,225.606057783589
17,431027.812716261,4999153.92809347,526,22.2862871456891,266.503143464215
17,409427.812716261,4963253.92809347,421,17.7916015684605,267.047047445085
17,549627.812716261,4822453.92809347,1332,20.6214350089431,192.8997069248
18,462627.812716261,4913953.92809347,13503,17.33936233446,235.547071115579
18,499627.812716261,4818953.92809347,90267,15.8653563354164,250.424499094952
18,463827.812716261,4942053.92809347,5389,27.5722280330956,207.254465615842
19,543727.812716261,4793353.92809347,402,23.6248560389504,238.010791637935
