year,x,y,max_size,windspeed,winddirection
1,487627.812716261,4871853.92809347,925,12.9822265775874,256.086570764892
1,543427.812716261,4775553.92809347,702,19.0276179369539,210.229563703761
1,537927.812716261,4724153.92809347,402,13.4070640429854,202.643932155333
1,500527.812716261,4822853.92809347,553,16.3564186869189,207.88248794619
1,623027.812716261,4750553.92809347,42351,21.7698467196897,265.603632400744
1,555527.812716261,4832953.92809347,3366,25.2261224901304,205.847653755918
1,493127.812716261,5034753.92809347,4447,24.9063741555437,184.289687639102
2,581527.812716261,4787753.92809347,986,11.7605265043676,257.47922814684
3,470627.812716261,4833153.92809347,764,10.4067750275135,250.519582650159
3,570827.812716261,5018053.92809347,1160,28.9865418942645,212.745104064234
4,565027.812716261,5001753.92809347,844,15.3260749904439,243.071032685693
5,521627.812716261,4862953.92809347,2967,23.9728719508275,226.600432817359
5,478027.812716261,4887553.92809347,2131,24.8293772945181,209.918933892623
6,536627.812716261,4791753.92809347,467,19.675504793413,225.820687897503
7,594627.812716261,4879953.92809347,534,23.0382823199034,250.452552570496
7,479427.812716261,4886353.92809347,1022,23.3405477134511,268.55911899358
7,422027.812716261,4926953.92809347,3975,16.8899640068412,219.250487540849
7,546627.812716261,4962053.92809347,555,29.6903256233782,244.289781188127
7,527327.812716261,4849953.92809347,11593,26.885027391836,206.248540696688
7,505727.812716261,4771753.92809347,709,29.5507193217054,185.278571436647
7,475827.812716261,4839653.92809347,27042,20.5600207019597,262.716863772366
7,536227.812716261,4845453.92809347,15668,29.7946372022852,264.207185790874
7,587827.812716261,4901853.92809347,35364,27.9397275578231,236.574202438351
7,502827.812716261,4762153.92809347,1578,13.1458137976006,199.404496396892
7,539127.812716261,4784753.92809347,2626,24.1434053517878,208.229519943707
7,483327.812716261,4804053.92809347,5089,16.7863264353946,246.426536680665
7,562227.812716261,4933253.92809347,2608,18.2195794954896,264.505120706744
7,578027.812716261,4945453.92809347,35685,17.617576951161,212.314141388051
7,576127.812716261,4969753.92809347,400,10.5473806988448,186.846917679068
7,506327.812716261,4754953.92809347,1569,12.2010520705953,223.533832405228
9,443527.812716261,4962653.92809347,12950,24.0051689790562,257.953113145195
10,503927.812716261,4798553.92809347,3401,15.1676636748016,195.070127535146
10,509927.812716261,4892253.92809347,7713,17.8408574964851,219.992373604327
10,512227.812716261,4894753.92809347,922,28.7322967639193,236.35045499308
10,501127.812716261,4926753.92809347,985,16.1788812838495,187.382408366539
10,589327.812716261,5007153.92809347,476337,13.7905816268176,194.094459798653
10,467727.812716261,4969753.92809347,2682,12.5244210008532,260.669504462276
11,529027.812716261,4767853.92809347,1103,19.6618680842221,205.543121465016
12,579627.812716261,4873953.92809347,20264,10.9617291716859,205.644645465072
12,464627.812716261,4930053.92809347,632,24.3295853771269,190.126834949479
12,481627.812716261,4751753.92809347,4737,28.965630363673,212.220670301467
12,538727.812716261,4927753.92809347,701,25.9924219129607,262.436921722256
12,496927.812716261,4792453.92809347,413,22.1804522071034,191.744429587852
13,533627.812716261,4762753.92809347,649,27.9704757966101,215.642577074468
13,539027.812716261,4797853.92809347,1245,29.7320972569287,266.544231050648
13,551127.812716261,4881753.92809347,38671,25.4896052833647,248.639788983855
13,501627.812716261,4844053.92809347,635,19.801312983036,240.958247571252
13,468427.812716261,4739653.92809347,529,29.0280761988834,189.512792062014
13,535627.812716261,5021053.92809347,2543,26.6476738406345,233.533397563733
13,493227.812716261,5040853.92809347,702,13.886780817993,197.653306648135
13,484127.812716261,4825353.92809347,1368,16.5108611201867,266.662983507849
13,433027.812716261,4996153.92809347,1895,22.5695093628019,247.715137344785
14,527527.812716261,4817653.92809347,538,15.1769580226392,187.033379129134
14,520027.812716261,4875853.92809347,2890,28.056486020796,243.177835315
14,503827.812716261,4874253.92809347,610,12.1634344896302,201.044426963199
14,450827.812716261,4928453.92809347,989,23.3250830881298,248.819057545625
14,565327.812716261,4782353.92809347,9973,17.7610467886552,252.891753679141
