stateId	unique.str	composition	structure	fct	n
1	PIAB  10 2	PIAB 	10	2	357931
2	PIAB  10 1	PIAB 	10	1	49404
3	PIAB  8 2	PIAB 	8	2	96668
4	PIAB lade  8 2	PIAB lade 	8	2	2401
5	PIAB fasy  10 2	PIAB fasy 	10	2	139987
6	piab fasy  9 1	piab fasy 	9	1	62416
7	FASY  9 1	FASY 	9	1	42432
8	acps frex  8 0	acps frex 	8	0	14
9	piab fasy  8 2	piab fasy 	8	2	338988
10	PIAB  7 2	PIAB 	7	2	31824
11	fasy acps frex  8 1	fasy acps frex 	8	1	35
12	piab  9 2	piab 	9	2	8750
13	PIAB fasy  9 2	PIAB fasy 	9	2	91946
14	FASY  8 2	FASY 	8	2	3033918
15	piab fasy  8 1	piab fasy 	8	1	110226
16	fasy frex  8 1	fasy frex 	8	1	1209
17	PIAB  7 1	PIAB 	7	1	25610
18	piab fasy  4 2	piab fasy 	4	2	257
19	fasy  9 1	fasy 	9	1	6987
20	piab abal fasy  9 1	piab abal fasy 	9	1	772
21	fasy acps  9 1	fasy acps 	9	1	580
22	FASY piab  9 1	FASY piab 	9	1	10128
23	PIAB  5 1	PIAB 	5	1	2133
24	FASY  8 1	FASY 	8	1	65790
25	PIAB  9 2	PIAB 	9	2	211111
26	piab fasy  9 2	piab fasy 	9	2	701796
27	piab fasy  10 2	piab fasy 	10	2	647247
28	piab fasy  10 1	piab fasy 	10	1	15169
29	piab fasy  9 0	piab fasy 	9	0	969
30	PIAB  6 2	PIAB 	6	2	6455
31	PIAB  8 1	PIAB 	8	1	45235
32	FASY  9 0	FASY 	9	0	808
33	FASY  5 1	FASY 	5	1	5495
34	piab fasy  6 1	piab fasy 	6	1	38876
35	piab fasy  7 2	piab fasy 	7	2	86246
36	PIAB  10 0	PIAB 	10	0	623
37	piab fasy  7 1	piab fasy 	7	1	81448
38	PIAB  9 1	PIAB 	9	1	56921
39	PIAB fasy  9 1	PIAB fasy 	9	1	15635
40	piab acps  7 1	piab acps 	7	1	98
41	pisy fasy  9 1	pisy fasy 	9	1	545
42	FASY  7 1	FASY 	7	1	37318
43	FASY  6 1	FASY 	6	1	11719
44	PIAB fasy  8 1	PIAB fasy 	8	1	20071
45	FASY piab  7 1	FASY piab 	7	1	19695
46	fasy  10 1	fasy 	10	1	1141
47	fasy frex  9 1	fasy frex 	9	1	600
48	FASY  6 0	FASY 	6	0	1356
49	FASY  6 2	FASY 	6	2	348217
50	FASY  7 2	FASY 	7	2	1052765
51	FASY frex  7 0	FASY frex 	7	0	58
52	piab fasy frex  8 1	piab fasy frex 	8	1	598
53	fasy frex  6 1	fasy frex 	6	1	313
54	FASY piab  8 1	FASY piab 	8	1	23788
55	piab  7 1	piab 	7	1	1974
56	FREX  1 0	FREX 	1	0	1614
57	piab pisy fasy  7 1	piab pisy fasy 	7	1	1919
58	piab fasy  5 1	piab fasy 	5	1	16358
59	fasy frex  7 1	fasy frex 	7	1	780
60	fasy alin  7 1	fasy alin 	7	1	16
61	piab pisy  7 1	piab pisy 	7	1	2245
62	fasy acps  8 1	fasy acps 	8	1	932
63	FASY acps  6 1	FASY acps 	6	1	98
64	PIAB fasy  10 1	PIAB fasy 	10	1	6944
65	FASY frex  6 0	FASY frex 	6	0	77
66	fasy acps  7 1	fasy acps 	7	1	831
67	FASY frex  6 1	FASY frex 	6	1	76
68	fasy frex  6 0	fasy frex 	6	0	225
69	fasy acps  5 0	fasy acps 	5	0	73
70	FASY  5 0	FASY 	5	0	608
71	fasy  8 1	fasy 	8	1	12122
72	fasy  7 1	fasy 	7	1	5868
73	PIAB fasy  8 2	PIAB fasy 	8	2	36887
74	FASY  8 0	FASY 	8	0	2355
75	piab  7 2	piab 	7	2	1466
76	piab fasy  7 0	piab fasy 	7	0	1799
77	FASY piab  5 2	FASY piab 	5	2	9544
78	FASY piab  6 1	FASY piab 	6	1	13601
79	piab fasy  6 2	piab fasy 	6	2	22127
80	PIAB fasy  7 1	PIAB fasy 	7	1	11506
81	FASY  7 0	FASY 	7	0	2330
82	PIAB frex  4 0	PIAB frex 	4	0	98
83	piab frex  5 0	piab frex 	5	0	223
84	FASY acps  5 0	FASY acps 	5	0	63
85	PIAB fasy  7 2	PIAB fasy 	7	2	8141
86	FASY piab  8 2	FASY piab 	8	2	240410
87	piab lade  8 1	piab lade 	8	1	11618
88	abal fasy  7 1	abal fasy 	7	1	1861
89	piab fasy  5 0	piab fasy 	5	0	382
90	lade fasy  8 1	lade fasy 	8	1	7768
91	piab lade fasy  8 1	piab lade fasy 	8	1	7793
92	piab lade  7 1	piab lade 	7	1	5798
93	LADE  5 0	LADE 	5	0	345
94	piab lade fasy  8 2	piab lade fasy 	8	2	8381
95	lade fasy  7 0	lade fasy 	7	0	932
96	FASY  10 1	FASY 	10	1	5667
97	FASY piab  7 2	FASY piab 	7	2	85158
98	LADE  7 1	LADE 	7	1	1807
99	lade fasy acps  6 0	lade fasy acps 	6	0	16
100	FASY  10 0	FASY 	10	0	159
101	piab lade fasy  10 0	piab lade fasy 	10	0	42
102	piab acps  5 1	piab acps 	5	1	17
103	LADE  6 0	LADE 	6	0	927
104	piab lade  8 0	piab lade 	8	0	825
105	piab lade  6 0	piab lade 	6	0	363
106	PIAB lade  6 0	PIAB lade 	6	0	60
107	PIAB  6 1	PIAB 	6	1	8142
108	PIAB  5 2	PIAB 	5	2	1038
109	FASY frex  8 0	FASY frex 	8	0	80
110	PIAB lade  8 1	PIAB lade 	8	1	2862
111	PIAB lade  6 1	PIAB lade 	6	1	459
112	piab  8 1	piab 	8	1	2794
113	PIAB frex  5 1	PIAB frex 	5	1	49
114	piab fasy  4 1	piab fasy 	4	1	3148
115	PIAB  7 0	PIAB 	7	0	2085
116	PIAB lade  7 1	PIAB lade 	7	1	1745
117	piab fasy  6 0	piab fasy 	6	0	717
118	FASY lade  7 1	FASY lade 	7	1	381
119	PIAB  1 0	PIAB 	1	0	708
120	piab lade  7 0	piab lade 	7	0	985
121	FASY acps  7 1	FASY acps 	7	1	168
122	fasy acps  7 2	fasy acps 	7	2	181
123	fasy acps  6 1	fasy acps 	6	1	310
124	PIAB abal  7 1	PIAB abal 	7	1	112
125	piab fasy acps  8 1	piab fasy acps 	8	1	270
126	fasy  6 1	fasy 	6	1	914
127	piab abal fasy  7 1	piab abal fasy 	7	1	889
128	piab fasy  8 0	piab fasy 	8	0	1993
129	piab fasy acps  7 2	piab fasy acps 	7	2	77
130	piab fasy acps  8 2	piab fasy acps 	8	2	235
131	PIAB fasy  8 0	PIAB fasy 	8	0	221
132	FASY piab  6 0	FASY piab 	6	0	147
133	pisy fasy  7 1	pisy fasy 	7	1	2044
134	piab fasy acps  7 1	piab fasy acps 	7	1	403
135	PISY  5 1	PISY 	5	1	397
136	PISY  6 1	PISY 	6	1	929
137	piab acps  7 2	piab acps 	7	2	23
138	pisy  6 1	pisy 	6	1	267
139	pisy fasy  6 1	pisy fasy 	6	1	584
140	piab pisy  8 1	piab pisy 	8	1	2369
141	PIAB  5 0	PIAB 	5	0	1119
142	PIAB fasy  6 1	PIAB fasy 	6	1	3820
143	fasy  8 2	fasy 	8	2	19122
144	piab  7 0	piab 	7	0	252
145	PIAB fasy  6 0	PIAB fasy 	6	0	99
146	piab fasy acps  6 1	piab fasy acps 	6	1	91
147	piab pisy fasy  8 1	piab pisy fasy 	8	1	2546
148	piab lade  6 1	piab lade 	6	1	1187
149	piab fasy frex  6 0	piab fasy frex 	6	0	77
150	PISY lade  5 1	PISY lade 	5	1	29
151	PISY  5 0	PISY 	5	0	47
152	pisy  5 1	pisy 	5	1	43
153	PIAB  8 0	PIAB 	8	0	2044
154	piab  6 0	piab 	6	0	160
155	piab pisy  6 1	piab pisy 	6	1	687
156	LADE  5 1	LADE 	5	1	50
157	fasy  5 1	fasy 	5	1	110
158	PISY  7 1	PISY 	7	1	1168
159	FASY piab  9 2	FASY piab 	9	2	467324
160	piab lade fasy  9 2	piab lade fasy 	9	2	9410
161	piab pisy fasy  6 1	piab pisy fasy 	6	1	222
162	acps alin  6 0	acps alin 	6	0	13
163	PISY piab  6 1	PISY piab 	6	1	111
164	lade fasy  9 1	lade fasy 	9	1	5788
165	lade fasy  8 2	lade fasy 	8	2	4119
166	FASY lade  9 1	FASY lade 	9	1	830
167	lade fasy acps  8 1	lade fasy acps 	8	1	105
168	pisy fasy  8 1	pisy fasy 	8	1	2219
169	piab pisy  7 2	piab pisy 	7	2	1336
170	lade pisy  7 1	lade pisy 	7	1	1179
171	PISY  6 2	PISY 	6	2	106
172	FASY  9 2	FASY 	9	2	3967311
173	lade fasy  7 2	lade fasy 	7	2	1635
174	piab lade  7 2	piab lade 	7	2	2311
175	pisy  7 1	pisy 	7	1	795
176	pisy fasy  7 2	pisy fasy 	7	2	593
177	piab lade fasy  7 1	piab lade fasy 	7	1	4308
178	piab lade fasy  6 2	piab lade fasy 	6	2	149
179	fasy  6 2	fasy 	6	2	244
180	FASY lade  7 2	FASY lade 	7	2	158
181	fasy  7 2	fasy 	7	2	3908
182	piab abal fasy  8 1	piab abal fasy 	8	1	1175
183	piab abal  7 1	piab abal 	7	1	363
184	fasy  6 0	fasy 	6	0	278
185	piab lade fasy  7 2	piab lade fasy 	7	2	2972
186	lade fasy  6 2	lade fasy 	6	2	152
187	lade fasy  7 1	lade fasy 	7	1	5450
188	abal lade fasy  8 1	abal lade fasy 	8	1	280
189	FASY lade  8 1	FASY lade 	8	1	746
190	pisy  7 2	pisy 	7	2	266
191	abal fasy  9 1	abal fasy 	9	1	957
192	lade fasy  6 1	lade fasy 	6	1	929
193	fasy alin  7 0	fasy alin 	7	0	26
194	pisy fasy  5 1	pisy fasy 	5	1	46
195	abal lade fasy  7 1	abal lade fasy 	7	1	722
196	abal fasy  9 2	abal fasy 	9	2	6972
197	fasy frex  7 0	fasy frex 	7	0	316
198	lade frex  6 0	lade frex 	6	0	105
199	fasy  9 2	fasy 	9	2	26051
200	LADE piab  5 1	LADE piab 	5	1	41
201	piab fasy  5 2	piab fasy 	5	2	4279
202	lade fasy  5 1	lade fasy 	5	1	121
203	FASY lade  6 1	FASY lade 	6	1	154
204	LADE  6 1	LADE 	6	1	402
205	FASY  4 1	FASY 	4	1	1161
