year,x,y,max_size,windspeed,winddirection
1,580527.812716261,4792253.92809347,11909,14.0837509417906,258.786541577429
2,672727.812716261,4712353.92809347,1134,10.4457830777392,208.671923435759
2,550627.812716261,4786153.92809347,876,28.1491301069036,243.744786197785
2,523227.812716261,4676753.92809347,2142,23.0928918439895,212.589742178097
2,614127.812716261,4751053.92809347,2787,23.6690697772428,186.788279686589
3,616527.812716261,4757853.92809347,591,21.4798023505136,202.734197918326
3,456027.812716261,4895053.92809347,1960,16.020774776116,232.481183249038
3,611227.812716261,5008453.92809347,593,24.3054624833167,225.384212695062
3,470327.812716261,4767253.92809347,1995,14.1734078014269,194.513753922656
3,539327.812716261,4837853.92809347,30075,28.5398863814771,190.510855321772
5,526727.812716261,4802753.92809347,819,13.8584672380239,210.586148409639
7,569127.812716261,4996453.92809347,505,11.3235644577071,221.653018430807
7,526527.812716261,4690753.92809347,1829,15.4584356723353,237.623462991323
8,538927.812716261,4865153.92809347,534,11.3330911193043,246.979122385383
8,526327.812716261,4785153.92809347,2538,22.2389815142378,265.497052709106
8,551127.812716261,5042053.92809347,858,22.7614050963894,205.278114269022
8,514327.812716261,4875253.92809347,3162,21.1276558740065,188.198910362553
8,499927.812716261,4974453.92809347,1450,24.3537016399205,269.144265856594
8,612127.812716261,5010653.92809347,4188,24.0206457069144,259.44416602375
8,620127.812716261,5007753.92809347,504,17.0779083482921,231.069691919256
8,562027.812716261,4862153.92809347,510,26.1331579275429,210.953542375937
8,560427.812716261,4943053.92809347,716,19.7918187454343,241.212895887438
9,561027.812716261,5039553.92809347,1330,25.7867652596906,259.386325296946
9,587127.812716261,4863253.92809347,441,20.7375912554562,209.324435968883
9,543127.812716261,4919053.92809347,540,26.0242684371769,235.145004359074
9,532627.812716261,4957253.92809347,20451,29.7689316514879,228.136922463309
9,543127.812716261,4834553.92809347,14243,11.0794561961666,234.036974280607
9,583927.812716261,4900253.92809347,1386,17.1778751676902,221.258049260359
9,534827.812716261,5030453.92809347,1359,21.1393272038549,187.509315032512
10,503227.812716261,5010453.92809347,775,16.7423600517213,264.177260384895
10,525327.812716261,4733253.92809347,12680,10.9496305370703,236.872869241051
10,545827.812716261,4760253.92809347,458,29.2317885346711,263.256163029
10,456127.812716261,4899053.92809347,399,10.7226935354993,187.409425335936
10,407727.812716261,4960953.92809347,443,28.2359719555825,184.871153966524
10,534127.812716261,4711353.92809347,970,11.6611609002575,186.175258427393
10,572527.812716261,4830753.92809347,5278,22.4297760985792,222.805076425429
10,559727.812716261,4863653.92809347,3625,27.7897031139582,243.440572649706
10,567227.812716261,4889253.92809347,7454,14.6374053740874,269.925168422051
11,530627.812716261,4932853.92809347,1595,17.2343789739534,244.600699546281
12,542927.812716261,4904453.92809347,389,19.9919831659645,264.831049439963
12,563627.812716261,4827753.92809347,930,23.6152736237273,252.603470419999
13,499227.812716261,4799453.92809347,418,28.1898655369878,231.424200721085
13,495027.812716261,4815553.92809347,2926,25.8463697368279,256.241137229372
13,477127.812716261,4956253.92809347,32605,22.6123935962096,266.091133214068
14,520927.812716261,4811353.92809347,6538,18.4909225581214,235.913608262781
14,497727.812716261,4939553.92809347,570,24.2407828103751,181.579747055657
14,530027.812716261,4941853.92809347,400,27.0720481593162,219.128788823728
14,530127.812716261,4746753.92809347,1233,23.8014273019508,214.783104895614
