year,x,y,max_size,windspeed,winddirection
1,572127.812716261,4920853.92809347,595,11.7847376223654,218.407833462115
1,515327.812716261,4965853.92809347,611,11.7357707861811,225.747609834652
1,472927.812716261,5009353.92809347,637,22.6558366417885,236.556497386191
1,535627.812716261,5022253.92809347,30740,23.2910017669201,213.360549160279
1,592527.812716261,4760853.92809347,1858,20.6062891939655,263.796699517407
1,552227.812716261,4837753.92809347,535,27.8823431860656,249.43481340073
1,545527.812716261,4842353.92809347,2829,16.8157641403377,195.401878589764
2,408427.812716261,4969953.92809347,9592,20.7323303818703,257.205795147456
2,474527.812716261,4706853.92809347,1818,29.2183422623202,193.24417284457
3,398527.812716261,4958553.92809347,841,16.7792596295476,206.228737779893
3,542027.812716261,4779153.92809347,704,22.1855530422181,227.155670891516
3,541827.812716261,4834253.92809347,817,24.9782507866621,229.87575257197
3,465027.812716261,4928453.92809347,888,27.0044783875346,220.543383678887
4,557727.812716261,4794553.92809347,435,28.3993516722694,236.013616165146
4,527027.812716261,4817653.92809347,2384,29.3744408572093,259.664354450069
4,565227.812716261,4866753.92809347,475,11.5388896642253,234.815928661264
4,498627.812716261,4900053.92809347,1833,20.268131820485,238.509219854604
4,537227.812716261,4938853.92809347,9161,28.7449838034809,192.372955963947
4,501427.812716261,4821153.92809347,712,14.313057125546,208.228214315604
4,503127.812716261,4854753.92809347,2443,28.6413206579164,200.7999991416
4,571527.812716261,4868053.92809347,3534,22.4342480907217,228.472692137584
4,575427.812716261,4878453.92809347,655,11.0384362004697,238.112482354045
4,516827.812716261,4796453.92809347,1479,11.0154487704858,227.684335587546
5,468627.812716261,4714053.92809347,385,26.5383279928938,223.26119530946
5,483227.812716261,4753853.92809347,480,17.0006450265646,229.625366264954
5,613927.812716261,5011453.92809347,2980,18.4317557653412,227.543837602716
6,473527.812716261,4804353.92809347,980,18.7339671421796,256.33053336991
6,474227.812716261,4768753.92809347,857,22.2556434059516,197.592528609093
6,497927.812716261,5047253.92809347,7296,19.6870170161128,194.902093384881
6,517827.812716261,4785753.92809347,1542,26.5889586601406,252.683757611085
6,501627.812716261,4792453.92809347,592,18.7644314812496,192.007596411277
7,490527.812716261,4799953.92809347,4986,15.9035096643493,204.521457720548
7,533827.812716261,4811553.92809347,1036,29.4481057533994,188.670272575691
7,528027.812716261,4817753.92809347,558,11.283629280515,180.39173704572
7,545127.812716261,4824553.92809347,1746,25.0711929099634,257.629246779252
7,489227.812716261,4871653.92809347,935,10.040484778583,251.065638852306
7,419927.812716261,4987553.92809347,3694,12.1820938261226,221.588596967049
7,538827.812716261,4845953.92809347,1040,18.8184158783406,232.28542144876
7,555027.812716261,4854753.92809347,1058,29.7244156943634,204.880273332819
7,483827.812716261,4942853.92809347,707,20.1766352262348,213.127847663127
7,497127.812716261,5044353.92809347,1326,10.0526880519465,186.054206856061
7,503227.812716261,5104953.92809347,3018,14.4445983413607,184.370439061895
8,552127.812716261,5047453.92809347,679,13.7264602538198,216.613973393105
8,494727.812716261,4742853.92809347,3948,23.7876098509878,256.530634397641
8,486027.812716261,4986853.92809347,732,12.7019806718454,219.718908858486
8,424227.812716261,4929853.92809347,521,23.6641012923792,261.958897488657
9,579627.812716261,5040953.92809347,877,13.484701118432,198.240938850213
9,523127.812716261,4699053.92809347,34663,14.8666444420815,227.68546320498
9,504827.812716261,4857253.92809347,2049,17.1797680575401,242.58329805918
9,632727.812716261,4989653.92809347,452,14.071817714721,205.11700067902
9,508927.812716261,4792253.92809347,1037,11.1287830397487,267.553066187538
9,547127.812716261,4858953.92809347,949,13.2699524238706,185.00631733099
9,494827.812716261,4814153.92809347,6567,12.9557223431766,222.814483602997
9,532227.812716261,4913653.92809347,5397,17.1094492496923,226.210364315193
9,512127.812716261,5037753.92809347,2569,16.73596853856,233.519407496788
9,510627.812716261,4800753.92809347,2122,12.5342930713668,182.255344607402
10,590027.812716261,4988553.92809347,517,26.4525995450094,258.087097972166
10,593927.812716261,4799953.92809347,1159,23.2889770017937,242.274844755884
10,570527.812716261,4861453.92809347,15893,28.9697963604704,197.584371382836
10,462727.812716261,4905253.92809347,588,10.1207616087049,250.129138240591
11,639427.812716261,4718853.92809347,667,12.0799663523212,203.247419397812
11,454727.812716261,4831153.92809347,1831,15.2481836918741,262.812085670885
12,536127.812716261,4819753.92809347,512,24.1663582483307,227.383146754
