year,x,y,max_size,windspeed,winddirection
1,525327.812716261,4723953.92809347,796,26.5863934112713,236.359566687606
1,537427.812716261,4868653.92809347,1277,20.5241089314222,247.857316634618
1,486027.812716261,5038253.92809347,2079,25.5787852732465,261.662805061787
2,499527.812716261,4990953.92809347,677,16.1347733577713,250.939722633921
2,514527.812716261,4686753.92809347,1376,16.0115932999179,213.117115411442
2,507427.812716261,4754153.92809347,870,16.0312299244106,235.451529677957
2,475127.812716261,4785353.92809347,4306,24.0858337422833,204.190584460739
2,508727.812716261,4984053.92809347,828,13.2900597341359,207.62084644055
3,494227.812716261,4809353.92809347,487,12.9589714528993,217.109174765646
3,571527.812716261,4784653.92809347,673,19.2360500246286,222.598762353882
3,560327.812716261,5030953.92809347,537,10.7835756149143,201.071831742302
4,535827.812716261,4797453.92809347,33009,16.8509075883776,259.09777186811
4,558127.812716261,4947953.92809347,1158,18.9169134898111,236.916018503252
4,550927.812716261,4813153.92809347,4610,23.2107057329267,185.904035966378
4,524627.812716261,4905253.92809347,13868,14.8883960675448,183.17266530823
4,555427.812716261,4906453.92809347,1521,26.8986603338271,229.071601540782
4,514927.812716261,4911453.92809347,4163,29.0260474663228,192.287422518712
4,545627.812716261,4901853.92809347,1051,17.5786849483848,203.222387786955
4,551427.812716261,5029353.92809347,736,10.0820815982297,239.4409048534
4,568027.812716261,4817453.92809347,1632,26.2487084185705,234.769220296293
5,591027.812716261,5038253.92809347,6869,28.0075531220064,225.284522194415
5,487527.812716261,4888753.92809347,490,18.9886326063424,197.760332487524
6,465427.812716261,4782453.92809347,791,21.8083524750546,246.897974687163
6,485527.812716261,5021053.92809347,3840,23.0642250366509,190.408584179822
6,522427.812716261,4860153.92809347,654,18.8449440617114,228.696474933531
6,474327.812716261,4781053.92809347,3388,12.4179642321542,200.9713737946
6,466727.812716261,4831853.92809347,1756,18.6443167040125,251.185041305143
7,477627.812716261,4733953.92809347,11820,10.4057123279199,216.205095921177
7,548027.812716261,4798953.92809347,1268,17.0819780929014,232.496676736046
8,542327.812716261,4782953.92809347,1765,21.0832788655534,208.890855289064
8,536927.812716261,4784253.92809347,380,12.5968577899039,204.725811285898
9,473527.812716261,4737953.92809347,377,12.5823538191617,258.675419606734
9,510827.812716261,4728853.92809347,905,17.0262268604711,216.950113212224
9,499927.812716261,4822953.92809347,399,14.8156473133713,182.965807418805
9,508527.812716261,4889353.92809347,578,25.1564020151272,236.364434938878
10,540627.812716261,4835853.92809347,8110,17.8352633537725,255.280187213793
10,542427.812716261,4845453.92809347,505,11.0349745023996,223.622225881554
10,472727.812716261,5001353.92809347,3879,28.9137389790267,206.231103949249
10,538327.812716261,4907553.92809347,853,25.085261920467,187.771534784697
10,529727.812716261,4752053.92809347,854,12.5546923233196,246.523124263622
10,463127.812716261,4900153.92809347,446,27.3062104033306,194.71170136705
10,582127.812716261,5017253.92809347,6209,27.0981981884688,206.190148524474
12,463727.812716261,4836253.92809347,3098,27.0489794341847,234.089778468478
13,587027.812716261,4775653.92809347,472,24.7059199027717,251.125171508174
13,471327.812716261,4841253.92809347,584,25.8246029773727,243.953412836418
13,514627.812716261,4884653.92809347,2309,16.0670019313693,205.555195093621
14,432527.812716261,5033653.92809347,13830,16.1920251091942,247.100332248956
14,517727.812716261,4832553.92809347,656,14.2085521528497,202.030875168275
14,575427.812716261,4864153.92809347,480,13.0423754034564,187.451577025931
14,570227.812716261,4882153.92809347,8392,15.197581811808,250.764991971664
15,584927.812716261,4795653.92809347,1126,25.0149943400174,269.592478971463
15,501727.812716261,4772553.92809347,1275,19.8759565036744,205.84585135337
15,480127.812716261,4885453.92809347,5749,14.5035026827827,197.134529161267
15,468527.812716261,4923553.92809347,2328,25.3699500765651,191.168793272227
15,450927.812716261,4931253.92809347,435,28.63386079669,202.64746688772
15,457127.812716261,4954853.92809347,1582,27.1936194505543,198.882147045806
15,542527.812716261,4707953.92809347,74555,28.725604545325,190.063841112424
15,642727.812716261,4739453.92809347,8298,13.584727239795,197.494476602878
15,506027.812716261,4843853.92809347,3853,22.8334129834548,199.546404448338
15,503827.812716261,4942553.92809347,10300,21.3783162087202,245.922558973543
15,555427.812716261,4977653.92809347,1147,16.912071024999,261.371708961669
15,444727.812716261,4984053.92809347,2515,12.1506493585184,233.997027785517
15,510427.812716261,5045253.92809347,2829,16.12160731107,214.558107457124
15,479827.812716261,4706953.92809347,601,14.8584822565317,217.1045385045
15,530427.812716261,4863653.92809347,2906,18.4690778236836,191.024983974639
16,619227.812716261,5004553.92809347,942,25.2047437103465,230.537506614346
17,484527.812716261,4692353.92809347,907,12.1444627828896,247.509303304832
17,501927.812716261,5073853.92809347,804,20.9345904039219,216.327841663733
17,454227.812716261,5008253.92809347,1767,13.2725361827761,229.68087476911
