year,state,n
1,1,589194
1,4,179606
1,6,918393
1,9,76816
1,11,415778
1,16,27723
1,18,672772
1,21,46212
2,1,687711
2,2,1890
2,3,49
2,4,79150
2,6,918015
2,7,378
2,9,76816
2,11,415564
2,13,214
2,16,27723
2,18,672709
2,19,63
2,21,46212
3,1,687460
3,2,2310
3,3,49
3,4,78981
3,6,917900
3,7,493
3,9,76818
3,11,415420
3,13,356
3,16,27723
3,18,672538
3,19,234
3,21,46212
4,1,704481
4,2,4705
4,3,47
4,4,59567
4,6,911826
4,7,6551
4,9,76842
4,11,414307
4,13,1461
4,16,27723
4,18,667988
4,19,4778
4,20,220
4,21,45998
