stateId,unique.str,composition,structure,fct,type
1,PIAB  10 2,PIAB ,10,2,0
2,PIAB  10 1,PIAB ,10,1,0
3,PIAB  8 2,PIAB ,8,2,0
4,PIAB lade  8 2,PIAB lade ,8,2,0
5,PIAB fasy  10 2,PIAB fasy ,10,2,0
6,piab fasy  9 1,piab fasy ,9,1,0
7,FASY  9 1,FASY ,9,1,0
8,acps frex  8 0,acps frex ,8,0,0
9,piab fasy  8 2,piab fasy ,8,2,0
10,PIAB  7 2,PIAB ,7,2,0
11,fasy acps frex  8 1,fasy acps frex ,8,1,0
12,piab  9 2,piab ,9,2,0
13,PIAB fasy  9 2,PIAB fasy ,9,2,0
14,FASY  8 2,FASY ,8,2,0
15,piab fasy  8 1,piab fasy ,8,1,0
16,fasy frex  8 1,fasy frex ,8,1,0
17,PIAB  7 1,PIAB ,7,1,0
18,piab fasy  4 2,piab fasy ,4,2,0
19,fasy  9 1,fasy ,9,1,0
20,piab abal fasy  9 1,piab abal fasy ,9,1,0
21,fasy acps  9 1,fasy acps ,9,1,0
22,FASY piab  9 1,FASY piab ,9,1,0
23,PIAB  5 1,PIAB ,5,1,0
24,FASY  8 1,FASY ,8,1,0
25,PIAB  9 2,PIAB ,9,2,0
26,piab fasy  9 2,piab fasy ,9,2,0
27,piab fasy  10 2,piab fasy ,10,2,0
28,piab fasy  10 1,piab fasy ,10,1,0
29,piab fasy  9 0,piab fasy ,9,0,0
30,PIAB  6 2,PIAB ,6,2,0
31,PIAB  8 1,PIAB ,8,1,0
32,FASY  9 0,FASY ,9,0,0
33,FASY  5 1,FASY ,5,1,0
34,piab fasy  6 1,piab fasy ,6,1,0
35,piab fasy  7 2,piab fasy ,7,2,0
36,PIAB  10 0,PIAB ,10,0,0
37,piab fasy  7 1,piab fasy ,7,1,0
38,PIAB  9 1,PIAB ,9,1,0
39,PIAB fasy  9 1,PIAB fasy ,9,1,0
40,piab acps  7 1,piab acps ,7,1,0
41,pisy fasy  9 1,pisy fasy ,9,1,0
42,FASY  7 1,FASY ,7,1,0
43,FASY  6 1,FASY ,6,1,0
44,PIAB fasy  8 1,PIAB fasy ,8,1,0
45,FASY piab  7 1,FASY piab ,7,1,0
46,fasy  10 1,fasy ,10,1,0
47,fasy frex  9 1,fasy frex ,9,1,0
48,FASY  6 0,FASY ,6,0,0
49,FASY  6 2,FASY ,6,2,0
50,FASY  7 2,FASY ,7,2,0
51,FASY frex  7 0,FASY frex ,7,0,0
52,piab fasy frex  8 1,piab fasy frex ,8,1,0
53,fasy frex  6 1,fasy frex ,6,1,0
54,FASY piab  8 1,FASY piab ,8,1,0
55,piab  7 1,piab ,7,1,0
56,FREX  1 0,FREX ,1,0,0
57,piab pisy fasy  7 1,piab pisy fasy ,7,1,0
58,piab fasy  5 1,piab fasy ,5,1,0
59,fasy frex  7 1,fasy frex ,7,1,0
60,fasy alin  7 1,fasy alin ,7,1,0
61,piab pisy  7 1,piab pisy ,7,1,0
62,fasy acps  8 1,fasy acps ,8,1,0
63,FASY acps  6 1,FASY acps ,6,1,0
64,PIAB fasy  10 1,PIAB fasy ,10,1,0
65,FASY frex  6 0,FASY frex ,6,0,0
66,fasy acps  7 1,fasy acps ,7,1,0
67,FASY frex  6 1,FASY frex ,6,1,0
68,fasy frex  6 0,fasy frex ,6,0,0
69,fasy acps  5 0,fasy acps ,5,0,0
70,FASY  5 0,FASY ,5,0,0
71,fasy  8 1,fasy ,8,1,0
72,fasy  7 1,fasy ,7,1,0
73,PIAB fasy  8 2,PIAB fasy ,8,2,0
74,FASY  8 0,FASY ,8,0,0
75,piab  7 2,piab ,7,2,0
76,piab fasy  7 0,piab fasy ,7,0,0
77,FASY piab  5 2,FASY piab ,5,2,0
78,FASY piab  6 1,FASY piab ,6,1,0
79,piab fasy  6 2,piab fasy ,6,2,0
80,PIAB fasy  7 1,PIAB fasy ,7,1,0
81,FASY  7 0,FASY ,7,0,0
82,PIAB frex  4 0,PIAB frex ,4,0,0
83,piab frex  5 0,piab frex ,5,0,0
84,FASY acps  5 0,FASY acps ,5,0,0
85,PIAB fasy  7 2,PIAB fasy ,7,2,0
86,FASY piab  8 2,FASY piab ,8,2,0
87,piab lade  8 1,piab lade ,8,1,0
88,abal fasy  7 1,abal fasy ,7,1,0
89,piab fasy  5 0,piab fasy ,5,0,0
90,lade fasy  8 1,lade fasy ,8,1,0
91,piab lade fasy  8 1,piab lade fasy ,8,1,0
92,piab lade  7 1,piab lade ,7,1,0
93,LADE  5 0,LADE ,5,0,0
94,piab lade fasy  8 2,piab lade fasy ,8,2,0
95,lade fasy  7 0,lade fasy ,7,0,0
96,FASY  10 1,FASY ,10,1,0
97,FASY piab  7 2,FASY piab ,7,2,0
98,LADE  7 1,LADE ,7,1,0
99,lade fasy acps  6 0,lade fasy acps ,6,0,0
100,FASY  10 0,FASY ,10,0,0
101,piab lade fasy  10 0,piab lade fasy ,10,0,0
102,piab acps  5 1,piab acps ,5,1,0
103,LADE  6 0,LADE ,6,0,0
104,piab lade  8 0,piab lade ,8,0,0
105,piab lade  6 0,piab lade ,6,0,0
106,PIAB lade  6 0,PIAB lade ,6,0,0
107,PIAB  6 1,PIAB ,6,1,0
108,PIAB  5 2,PIAB ,5,2,0
109,FASY frex  8 0,FASY frex ,8,0,0
110,PIAB lade  8 1,PIAB lade ,8,1,0
111,PIAB lade  6 1,PIAB lade ,6,1,0
112,piab  8 1,piab ,8,1,0
113,PIAB frex  5 1,PIAB frex ,5,1,0
114,piab fasy  4 1,piab fasy ,4,1,0
115,PIAB  7 0,PIAB ,7,0,0
116,PIAB lade  7 1,PIAB lade ,7,1,0
117,piab fasy  6 0,piab fasy ,6,0,0
118,FASY lade  7 1,FASY lade ,7,1,0
119,PIAB  1 0,PIAB ,1,0,0
120,piab lade  7 0,piab lade ,7,0,0
121,FASY acps  7 1,FASY acps ,7,1,0
122,fasy acps  7 2,fasy acps ,7,2,0
123,fasy acps  6 1,fasy acps ,6,1,0
124,PIAB abal  7 1,PIAB abal ,7,1,0
125,piab fasy acps  8 1,piab fasy acps ,8,1,0
126,fasy  6 1,fasy ,6,1,0
127,piab abal fasy  7 1,piab abal fasy ,7,1,0
128,piab fasy  8 0,piab fasy ,8,0,0
129,piab fasy acps  7 2,piab fasy acps ,7,2,0
130,piab fasy acps  8 2,piab fasy acps ,8,2,0
131,PIAB fasy  8 0,PIAB fasy ,8,0,0
132,FASY piab  6 0,FASY piab ,6,0,0
133,pisy fasy  7 1,pisy fasy ,7,1,0
134,piab fasy acps  7 1,piab fasy acps ,7,1,0
135,PISY  5 1,PISY ,5,1,0
136,PISY  6 1,PISY ,6,1,0
137,piab acps  7 2,piab acps ,7,2,0
138,pisy  6 1,pisy ,6,1,0
139,pisy fasy  6 1,pisy fasy ,6,1,0
140,piab pisy  8 1,piab pisy ,8,1,0
141,PIAB  5 0,PIAB ,5,0,0
142,PIAB fasy  6 1,PIAB fasy ,6,1,0
143,fasy  8 2,fasy ,8,2,0
144,piab  7 0,piab ,7,0,0
145,PIAB fasy  6 0,PIAB fasy ,6,0,0
146,piab fasy acps  6 1,piab fasy acps ,6,1,0
147,piab pisy fasy  8 1,piab pisy fasy ,8,1,0
148,piab lade  6 1,piab lade ,6,1,0
149,piab fasy frex  6 0,piab fasy frex ,6,0,0
150,PISY lade  5 1,PISY lade ,5,1,0
151,PISY  5 0,PISY ,5,0,0
152,pisy  5 1,pisy ,5,1,0
153,PIAB  8 0,PIAB ,8,0,0
154,piab  6 0,piab ,6,0,0
155,piab pisy  6 1,piab pisy ,6,1,0
156,LADE  5 1,LADE ,5,1,0
157,fasy  5 1,fasy ,5,1,0
158,PISY  7 1,PISY ,7,1,0
159,FASY piab  9 2,FASY piab ,9,2,0
160,piab lade fasy  9 2,piab lade fasy ,9,2,0
161,piab pisy fasy  6 1,piab pisy fasy ,6,1,0
162,acps alin  6 0,acps alin ,6,0,0
163,PISY piab  6 1,PISY piab ,6,1,0
164,lade fasy  9 1,lade fasy ,9,1,0
165,lade fasy  8 2,lade fasy ,8,2,0
166,FASY lade  9 1,FASY lade ,9,1,0
167,lade fasy acps  8 1,lade fasy acps ,8,1,0
168,pisy fasy  8 1,pisy fasy ,8,1,0
169,piab pisy  7 2,piab pisy ,7,2,0
170,lade pisy  7 1,lade pisy ,7,1,0
171,PISY  6 2,PISY ,6,2,0
172,FASY  9 2,FASY ,9,2,0
173,lade fasy  7 2,lade fasy ,7,2,0
174,piab lade  7 2,piab lade ,7,2,0
175,pisy  7 1,pisy ,7,1,0
176,pisy fasy  7 2,pisy fasy ,7,2,0
177,piab lade fasy  7 1,piab lade fasy ,7,1,0
178,piab lade fasy  6 2,piab lade fasy ,6,2,0
179,fasy  6 2,fasy ,6,2,0
180,FASY lade  7 2,FASY lade ,7,2,0
181,fasy  7 2,fasy ,7,2,0
182,piab abal fasy  8 1,piab abal fasy ,8,1,0
183,piab abal  7 1,piab abal ,7,1,0
184,fasy  6 0,fasy ,6,0,0
185,piab lade fasy  7 2,piab lade fasy ,7,2,0
186,lade fasy  6 2,lade fasy ,6,2,0
187,lade fasy  7 1,lade fasy ,7,1,0
188,abal lade fasy  8 1,abal lade fasy ,8,1,0
189,FASY lade  8 1,FASY lade ,8,1,0
190,pisy  7 2,pisy ,7,2,0
191,abal fasy  9 1,abal fasy ,9,1,0
192,lade fasy  6 1,lade fasy ,6,1,0
193,fasy alin  7 0,fasy alin ,7,0,0
194,pisy fasy  5 1,pisy fasy ,5,1,0
195,abal lade fasy  7 1,abal lade fasy ,7,1,0
196,abal fasy  9 2,abal fasy ,9,2,0
197,fasy frex  7 0,fasy frex ,7,0,0
198,lade frex  6 0,lade frex ,6,0,0
199,fasy  9 2,fasy ,9,2,0
200,LADE piab  5 1,LADE piab ,5,1,0
201,piab fasy  5 2,piab fasy ,5,2,0
202,lade fasy  5 1,lade fasy ,5,1,0
203,FASY lade  6 1,FASY lade ,6,1,0
204,LADE  6 1,LADE ,6,1,0
205,FASY  4 1,FASY ,4,1,0
206,piab pisy  5 1,piab pisy ,5,1,0
207,piab lade  8 2,piab lade ,8,2,0
208,lade  8 1,lade ,8,1,0
209,lade  6 0,lade ,6,0,0
210,piab abal  8 2,piab abal ,8,2,0
211,piab abal  9 2,piab abal ,9,2,0
212,abal  7 1,abal ,7,1,0
213,abal  9 1,abal ,9,1,0
214,abal fasy  7 2,abal fasy ,7,2,0
215,piab  8 2,piab ,8,2,0
216,ABAL  7 1,ABAL ,7,1,0
217,ABAL  6 1,ABAL ,6,1,0
218,abal  8 1,abal ,8,1,0
219,fasy  7 0,fasy ,7,0,0
220,FASY abal  7 2,FASY abal ,7,2,0
221,fasy frex  8 0,fasy frex ,8,0,0
222,abal lade  7 0,abal lade ,7,0,0
223,abal acps  7 1,abal acps ,7,1,0
224,piab lade fasy  9 1,piab lade fasy ,9,1,0
225,LADE  9 0,LADE ,9,0,0
226,LADE  10 0,LADE ,10,0,0
227,abal fasy  10 1,abal fasy ,10,1,0
228,FASY abal  7 0,FASY abal ,7,0,0
229,abal fasy  8 1,abal fasy ,8,1,0
230,piab abal  7 2,piab abal ,7,2,0
231,PIAB fasy  7 0,PIAB fasy ,7,0,0
232,fasy  8 0,fasy ,8,0,0
233,piab lade  9 2,piab lade ,9,2,0
234,abal fasy  8 2,abal fasy ,8,2,0
235,piab lade  9 1,piab lade ,9,1,0
