stateId	unique.str	composition	structure	fct	n	type	color
1	PIAB  10 2	PIAB 	10	2	362837		#256d37
2	PIAB  10 1	PIAB 	10	1	49577		#256d37
3	PIAB  8 2	PIAB 	8	2	96568		#256d37
4	PIAB lade  8 2	PIAB lade 	8	2	2426		#687022
5	PIAB fasy  10 2	PIAB fasy 	10	2	141544		#308245
6	piab fasy  9 1	piab fasy 	9	1	62476		#43a55c
7	FASY  9 1	FASY 	9	1	42365		#ade268
8	acps frex  8 0	acps frex 	8	0	10		#c0c0c0
9	piab fasy  8 2	piab fasy 	8	2	339717		#43a55c
10	PIAB  7 2	PIAB 	7	2	31771		#256d37
11	fasy acps frex  8 1	fasy acps frex 	8	1	41		#c0c0c0
12	piab  9 2	piab 	9	2	9440		#256d37
13	PIAB fasy  9 2	PIAB fasy 	9	2	91889		#308245
14	FASY  8 2	FASY 	8	2	3032558		#ade268
15	piab fasy  8 1	piab fasy 	8	1	110265		#43a55c
16	fasy frex  8 1	fasy frex 	8	1	1363		#c0c0c0
17	PIAB  7 1	PIAB 	7	1	25579		#256d37
18	piab fasy  4 2	piab fasy 	4	2	282		#43a55c
19	fasy  9 1	fasy 	9	1	7266		#b4d884
20	piab abal fasy  9 1	piab abal fasy 	9	1	772		#488c59
21	fasy acps  9 1	fasy acps 	9	1	677		#c0c0c0
22	FASY piab  9 1	FASY piab 	9	1	10133		#629e31
23	PIAB  5 1	PIAB 	5	1	2143		#256d37
24	FASY  8 1	FASY 	8	1	66433		#ade268
25	PIAB  9 2	PIAB 	9	2	211035		#256d37
26	piab fasy  9 2	piab fasy 	9	2	702755		#43a55c
27	piab fasy  10 2	piab fasy 	10	2	661650		#43a55c
28	piab fasy  10 1	piab fasy 	10	1	15251		#43a55c
29	piab fasy  9 0	piab fasy 	9	0	1013		#43a55c
30	PIAB  6 2	PIAB 	6	2	6478		#256d37
31	PIAB  8 1	PIAB 	8	1	45129		#256d37
32	FASY  9 0	FASY 	9	0	848		#ade268
33	FASY  5 1	FASY 	5	1	5985		#ade268
34	piab fasy  6 1	piab fasy 	6	1	38833		#43a55c
35	piab fasy  7 2	piab fasy 	7	2	86260		#43a55c
36	PIAB  10 0	PIAB 	10	0	648		#256d37
37	piab fasy  7 1	piab fasy 	7	1	81438		#43a55c
38	PIAB  9 1	PIAB 	9	1	56822		#256d37
39	PIAB fasy  9 1	PIAB fasy 	9	1	15609		#308245
40	piab acps  7 1	piab acps 	7	1	107		#c0c0c0
41	pisy fasy  9 1	pisy fasy 	9	1	721		#a86e06
42	FASY  7 1	FASY 	7	1	46217		#ade268
43	FASY  6 1	FASY 	6	1	13767		#ade268
44	PIAB fasy  8 1	PIAB fasy 	8	1	20039		#308245
45	FASY piab  7 1	FASY piab 	7	1	20197		#629e31
46	fasy  10 1	fasy 	10	1	1156		#b4d884
47	fasy frex  9 1	fasy frex 	9	1	804		#c0c0c0
48	FASY  6 0	FASY 	6	0	1429		#ade268
49	FASY  6 2	FASY 	6	2	349813		#ade268
50	FASY  7 2	FASY 	7	2	1055912		#ade268
51	FASY frex  7 0	FASY frex 	7	0	61		#c0c0c0
52	piab fasy frex  8 1	piab fasy frex 	8	1	701		#c0c0c0
53	fasy frex  6 1	fasy frex 	6	1	329		#c0c0c0
54	FASY piab  8 1	FASY piab 	8	1	23750		#629e31
55	piab  7 1	piab 	7	1	1991		#256d37
56	FREX  1 0	FREX 	1	0	1639		#c0c0c0
57	piab pisy fasy  7 1	piab pisy fasy 	7	1	2048		#754d07
58	piab fasy  5 1	piab fasy 	5	1	16386		#43a55c
59	fasy frex  7 1	fasy frex 	7	1	808		#c0c0c0
60	fasy alin  7 1	fasy alin 	7	1	14		#c0c0c0
61	piab pisy  7 1	piab pisy 	7	1	2262		#825a12
62	fasy acps  8 1	fasy acps 	8	1	979		#c0c0c0
63	FASY acps  6 1	FASY acps 	6	1	113		#c0c0c0
64	PIAB fasy  10 1	PIAB fasy 	10	1	6956		#308245
65	FASY frex  6 0	FASY frex 	6	0	77		#c0c0c0
66	fasy acps  7 1	fasy acps 	7	1	855		#c0c0c0
67	FASY frex  6 1	FASY frex 	6	1	85		#c0c0c0
68	fasy frex  6 0	fasy frex 	6	0	266		#c0c0c0
69	fasy acps  5 0	fasy acps 	5	0	74		#c0c0c0
70	FASY  5 0	FASY 	5	0	619		#ade268
71	fasy  8 1	fasy 	8	1	12167		#b4d884
72	fasy  7 1	fasy 	7	1	6200		#b4d884
73	PIAB fasy  8 2	PIAB fasy 	8	2	36837		#308245
74	FASY  8 0	FASY 	8	0	2390		#ade268
75	piab  7 2	piab 	7	2	1522		#256d37
76	piab fasy  7 0	piab fasy 	7	0	1824		#43a55c
77	FASY piab  5 2	FASY piab 	5	2	9765		#629e31
78	FASY piab  6 1	FASY piab 	6	1	13753		#629e31
79	piab fasy  6 2	piab fasy 	6	2	22151		#43a55c
80	PIAB fasy  7 1	PIAB fasy 	7	1	11493		#308245
81	FASY  7 0	FASY 	7	0	2555		#ade268
82	PIAB frex  4 0	PIAB frex 	4	0	99		#c0c0c0
83	piab frex  5 0	piab frex 	5	0	292		#c0c0c0
84	FASY acps  5 0	FASY acps 	5	0	72		#c0c0c0
85	PIAB fasy  7 2	PIAB fasy 	7	2	8122		#308245
86	FASY piab  8 2	FASY piab 	8	2	240220		#629e31
87	piab lade  8 1	piab lade 	8	1	11649		#687022
88	abal fasy  7 1	abal fasy 	7	1	1868		darkgrey
89	piab fasy  5 0	piab fasy 	5	0	395		#43a55c
90	lade fasy  8 1	lade fasy 	8	1	7801		#ada845
91	piab lade fasy  8 1	piab lade fasy 	8	1	7798		#9ead18
92	piab lade  7 1	piab lade 	7	1	5799		#687022
93	LADE  5 0	LADE 	5	0	366		yellow
94	piab lade fasy  8 2	piab lade fasy 	8	2	8381		#9ead18
95	lade fasy  7 0	lade fasy 	7	0	937		#ada845
96	FASY  10 1	FASY 	10	1	5685		#ade268
97	FASY piab  7 2	FASY piab 	7	2	85223		#629e31
98	LADE  7 1	LADE 	7	1	1827		yellow
99	lade fasy acps  6 0	lade fasy acps 	6	0	17		#c0c0c0
100	FASY  10 0	FASY 	10	0	158		#ade268
101	piab lade fasy  10 0	piab lade fasy 	10	0	48		#9ead18
102	piab acps  5 1	piab acps 	5	1	11		#c0c0c0
103	LADE  6 0	LADE 	6	0	936		yellow
