id,climateId,availableNitrogen,soilDepth,distanceOutside,initialResidenceTime,initialStateId
1,1,56.18682579,11.28,0.646446609406726,1,24
2,1,53.85306859,10.26,0.646446609406726,1,42
3,1,55.48867972,35.5,1,1,23
4,1,53.61040648,17.47,1,1,142
5,1,50.74110594,19.16,1,1,593
6,1,51.67942451,18.82,1,1,107
7,1,52.05392854,33.98,1,1,17
8,1,52.05392854,32.97,1,1,54
9,1,56.57882451,33.48,1,1,14
10,1,53.09517803,18.8,0.75,1,24
11,1,53.09517803,19.31,0.75,1,81
12,1,52.78636205,15.95,1,1,81
13,2,53.09517803,20.34,1,1,84
14,1,51.67942451,34.15,1,1,97
15,1,56.57882451,33.64,1,1,37
16,1,53.09517803,19.5,0.75,1,15
17,1,53.09517803,19.14,0.75,1,15
18,1,53.09517803,18.46,0.75,1,107
19,1,53.09517803,18.97,0.75,1,37
20,1,53.09517803,19.48,0.75,1,42
21,1,54.79910061,19.48,0.75,1,24
22,1,55.83598152,20.66,0.646446609406726,1,24
23,1,53.09517803,19.99,0.646446609406726,1,187
24,1,53.09517803,18.97,0.75,1,71
25,2,53.09517803,18.46,0.75,1,42
26,2,53.09517803,17.47,1,1,24
27,3,56.54018653,19.99,1,1,177
28,1,53.85306859,18.46,0.75,1,177
29,1,53.09517803,18.63,0.75,1,72
30,1,53.09517803,20.66,0.646446609406726,1,37
31,1,53.09517803,19.14,0.5,1,15
32,1,53.09517803,19.48,0.5,1,37
33,1,52.3992944,24.12,0.5,1,17
34,1,56.57882451,23.96,0.5,1,42
35,1,56.05673021,23.96,0.5,1,24
36,1,53.09517803,19.48,0.440983005625053,1,24
37,1,53.09517803,19.65,0.440983005625053,1,91
38,1,53.09517803,19.82,0.5,1,37
39,2,53.09517803,19.14,0.646446609406726,1,2
40,2,53.09517803,19.31,0.75,1,24
41,2,55.83598152,21.17,1,1,86
42,4,53.79090941,34.83,1,1,10
43,5,55.98298215,33.81,1,1,50
44,5,53.75560603,33.81,1,1,50
45,5,54.65887636,19.65,1,1,43
46,5,54.65887636,18.63,1,1,30
47,3,54.65887636,18.97,0.75,1,37
48,6,56.54018653,17.45,0.646446609406726,1,177
49,1,56.18682579,19.65,0.5,1,177
50,1,56.18682579,18.13,0.440983005625053,1,15
51,1,56.18682579,18.46,0.292893218813452,1,43
52,1,51.89383804,23.62,0.25,1,42
53,3,51.37206056,24.29,0.25,1,10
54,3,51.89383804,23.62,0.25,1,177
55,3,51.67942451,23.45,0.25,1,90
56,3,56.54018653,23.11,0.209430584957905,1,14
57,1,56.54018653,19.14,0.209430584957905,1,90
58,1,56.54018653,19.31,0.292893218813452,1,7
59,1,56.18682579,18.97,0.440983005625053,1,28
60,2,53.09517803,18.63,0.646446609406726,1,24
61,2,53.09517803,17.96,0.75,1,24
62,2,59.04832976,16.62,1,1,50
63,7,58.57424302,37.87,1,1,24
64,7,58.57424302,36.01,1,1,42
65,7,58.57424302,37.87,1,1,24
66,8,48.96889049,34.83,1,1,42
67,8,51.92557066,34.15,1,1,85
68,4,59.04832976,19.14,0.75,1,3
69,5,52.3992944,17.96,0.75,1,37
70,5,52.78636205,19.65,0.75,1,50
71,5,54.65887636,17.45,0.75,1,42
72,5,54.65887636,18.8,0.75,1,35
73,3,54.65887636,17.45,0.646446609406726,1,15
74,1,53.85306859,17.28,0.440983005625053,1,24
75,1,56.18682579,18.46,0.292893218813452,1,42
76,1,56.54018653,18.29,0.209430584957905,1,59
