id,model.climate.tableName,model.site.soilDepth,model.site.availableNitrogen
1,1,11.28,56.1868257906444
2,1,10.26,53.8530685938734
3,1,35.5,55.4886797156303
4,1,17.47,53.6104064817217
5,1,19.16,50.7411059401981
6,1,18.82,51.6794245096462
7,1,33.98,52.0539285402781
8,1,32.97,52.0539285402781
9,1,33.48,56.578824507721
10,1,18.8,53.0951780291205
11,1,19.31,53.0951780291205
12,1,15.95,52.7863620530372
13,2,20.34,53.0951780291205
14,1,34.15,51.6794245096462
15,1,33.64,56.578824507721
16,1,19.5,53.0951780291205
17,1,19.14,53.0951780291205
18,1,18.46,53.0951780291205
19,1,18.97,53.0951780291205
20,1,19.48,53.0951780291205
21,1,19.48,54.799100610978
22,1,20.66,55.8359815176989
23,1,19.99,53.0951780291205
24,1,18.97,53.0951780291205
25,2,18.46,53.0951780291205
26,2,17.47,53.0951780291205
27,3,19.99,56.5401865330557
28,1,18.46,53.8530685938734
29,1,18.63,53.0951780291205
30,1,20.66,53.0951780291205
31,1,19.14,53.0951780291205
32,1,19.48,53.0951780291205
33,1,24.12,52.3992944029271
34,1,23.96,56.578824507721
35,1,23.96,56.0567302113976
36,1,19.48,53.0951780291205
37,1,19.65,53.0951780291205
38,1,19.82,53.0951780291205
39,2,19.14,53.0951780291205
40,2,19.31,53.0951780291205
41,2,21.17,55.8359815176989
42,4,34.83,53.7909094147293
43,5,33.81,55.982982154631
44,5,33.81,53.7556060256031
45,5,19.65,54.6588763556874
46,5,18.63,54.6588763556874
47,3,18.97,54.6588763556874
48,6,17.45,56.5401865330557
49,1,19.65,56.1868257906444
50,1,18.13,56.1868257906444
51,1,18.46,56.1868257906444
52,1,23.62,51.8938380367709
53,3,24.29,51.3720605569956
54,3,23.62,51.8938380367709
55,3,23.45,51.6794245096462
56,3,23.11,56.5401865330557
57,1,19.14,56.5401865330557
58,1,19.31,56.5401865330557
59,1,18.97,56.1868257906444
60,2,18.63,53.0951780291205
61,2,17.96,53.0951780291205
62,2,16.62,59.0483297579334
63,7,37.87,58.5742430178787
64,7,36.01,58.5742430178787
65,7,37.87,58.5742430178787
66,8,34.83,48.968890488635
67,8,34.15,51.9255706602624
68,4,19.14,59.0483297579334
69,5,17.96,52.3992944029271
70,5,19.65,52.7863620530372
71,5,17.45,54.6588763556874
72,5,18.8,54.6588763556874
73,3,17.45,54.6588763556874
74,1,17.28,53.8530685938734
75,1,18.46,56.1868257906444
76,1,18.29,56.5401865330557
77,3,18.63,56.5401865330557
78,9,23.96,55.1617222441812
79,9,22.94,54.6588763556874
80,9,23.45,52.7701700519289
81,9,23.11,54.6588763556874
82,9,11.79,54.6588763556874
83,9,12.29,54.6588763556874
84,3,11.95,54.6588763556874
85,1,11.95,54.799100610978
86,2,18.13,53.0951780291205
87,2,17.79,53.0951780291205
88,2,23.03,53.118412877158
89,2,10.94,53.0951780291205
90,10,12.8,53.6104064817217
91,10,12.97,53.6104064817217
92,10,12.29,53.6104064817217
93,10,11.11,53.6104064817217
94,10,10.94,53.6104064817217
95,10,13.14,51.0625020454319
96,10,11.95,56.578824507721
97,10,13.81,51.0625020454319
98,7,13.81,55.4886797156303
99,7,11.11,55.8359815176989
100,7,8.38,55.8359815176989
101,7,22.43,55.8359815176989
102,8,11.45,55.8359815176989
103,8,10.94,52.3992944029271
104,4,10.94,52.3992944029271
105,5,10.94,52.3992944029271
106,5,11.62,54.6588763556874
107,5,10.77,54.6588763556874
108,3,10.94,56.1868257906444
109,3,11.95,56.1868257906444
110,3,13.81,56.5401865330557
111,3,10.94,56.5401865330557
112,3,11.95,56.1868257906444
113,9,23.28,54.6588763556874
114,9,11.45,53.6443420546826
115,9,33.14,53.7569233402584
116,9,34.15,51.0315313443816
117,9,34.66,52.8365179843771
118,9,34.32,52.8365179843771
119,9,33.14,53.7556060256031
120,9,33.14,54.078320033655
121,3,12.97,54.6588763556874
122,2,11.79,56.5401865330557
123,2,11.11,53.0951780291205
124,2,15.61,53.6104064817217
125,2,18.65,56.578824507721
126,10,20.15,53.6104064817217
127,10,12.12,53.6104064817217
128,10,12.29,53.6104064817217
129,10,11.62,53.6104064817217
130,10,11.79,53.6104064817217
131,10,22.94,53.6104064817217
132,10,10.94,56.578824507721
133,10,11.28,56.578824507721
134,10,12.12,56.578824507721
135,10,11.79,56.578824507721
136,10,16.86,52.622749122271
137,11,14.49,55.4886797156303
138,11,11.28,55.4886797156303
139,7,9.93,55.4886797156303
140,7,9.05,55.8359815176989
141,7,11.11,55.8359815176989
142,8,22.27,55.8359815176989
143,8,11.28,55.8359815176989
144,4,11.28,59.0483297579334
145,4,10.77,59.0483297579334
146,5,11.45,54.6588763556874
147,5,10.94,54.6588763556874
148,3,11.45,56.1868257906444
149,3,18.65,53.6104064817217
150,3,11.62,53.0951780291205
151,3,11.28,53.8530685938734
152,3,11.95,53.8530685938734
153,5,11.62,54.6588763556874
154,9,10.94,54.6588763556874
