stateId,runId,composition,structure,fct,unique.str,unique.id,puniuqe.id,n
1,1,PIAB ,10,2,PIAB  10 2,1,1,362837
2,1,PIAB ,10,1,PIAB  10 1,2,2,49577
3,1,PIAB ,8,2,PIAB  8 2,3,3,96568
4,1,PIAB lade ,8,2,PIAB lade  8 2,4,4,2426
5,1,PIAB fasy ,10,2,PIAB fasy  10 2,5,5,141544
6,1,piab fasy ,9,1,piab fasy  9 1,6,6,62476
7,1,FASY ,9,1,FASY  9 1,7,7,42365
9,1,acps frex ,8,0,acps frex  8 0,9,8,10
10,1,piab fasy ,8,2,piab fasy  8 2,10,9,339717
11,1,PIAB ,7,2,PIAB  7 2,11,10,31771
12,1,fasy acps frex ,8,1,fasy acps frex  8 1,12,11,41
13,1,piab ,9,2,piab  9 2,13,12,9440
14,1,PIAB fasy ,9,2,PIAB fasy  9 2,14,13,91889
15,1,FASY ,8,2,FASY  8 2,15,14,3032558
16,1,piab fasy ,8,1,piab fasy  8 1,16,15,110265
17,1,fasy frex ,8,1,fasy frex  8 1,17,16,1363
18,1,PIAB ,7,1,PIAB  7 1,18,17,25579
19,1,piab fasy ,4,2,piab fasy  4 2,19,18,282
20,1,fasy ,9,1,fasy  9 1,20,19,7266
21,1,piab abal fasy ,9,1,piab abal fasy  9 1,21,20,772
22,1,fasy acps ,9,1,fasy acps  9 1,22,21,677
23,1,FASY piab ,9,1,FASY piab  9 1,23,22,10133
24,1,PIAB ,5,1,PIAB  5 1,24,23,2143
25,1,FASY ,8,1,FASY  8 1,25,24,66433
26,1,PIAB ,9,2,PIAB  9 2,26,25,211035
27,1,piab fasy ,9,2,piab fasy  9 2,27,26,702755
28,1,piab fasy ,10,2,piab fasy  10 2,28,27,661650
29,1,piab fasy ,10,1,piab fasy  10 1,29,28,15251
30,1,piab fasy ,9,0,piab fasy  9 0,30,29,1013
31,1,PIAB ,6,2,PIAB  6 2,31,30,6478
32,1,PIAB ,8,1,PIAB  8 1,32,31,45129
33,1,FASY ,9,0,FASY  9 0,33,32,848
34,1,FASY ,5,1,FASY  5 1,34,33,5985
35,1,piab fasy ,6,1,piab fasy  6 1,35,34,38833
36,1,piab fasy ,7,2,piab fasy  7 2,36,35,86260
37,1,PIAB ,10,0,PIAB  10 0,37,36,648
38,1,piab fasy ,7,1,piab fasy  7 1,38,37,81438
39,1,PIAB ,9,1,PIAB  9 1,39,38,56822
40,1,PIAB fasy ,9,1,PIAB fasy  9 1,40,39,15609
41,1,piab acps ,7,1,piab acps  7 1,41,40,107
42,1,pisy fasy ,9,1,pisy fasy  9 1,42,41,721
44,1,FASY ,7,1,FASY  7 1,44,42,46217
45,1,FASY ,6,1,FASY  6 1,45,43,13767
